,price,bedrooms,bathrooms,has_basement,sqft_living,sqft_lot,liv/lot,view,age,age_decade,condition,grade,reno?,reno_age,lat,long,zipcode,zipcode_mean_price,zipcode_median_price,zipcode_mode_price,zip_rank_price,zipcode_mean_lot,zipcode_mean_liv,pop_den_by_zip
14,530000.0,5,2.0,0,1810,4850,0.3731958762886598,0.0,115,11,3,7,0,0.0,47.67,-122.39399999999999,98107,562928.82,529950.0,500000.0,3,3178.16,1558.64,9602
15,650000.0,4,3.0,1,2950,5000,0.59,3.0,36,3,3,9,0,0.0,47.5714,-122.375,98126,424734.6,395750.0,435000.0,2,5114.61,1543.6,6732
16,395000.0,3,2.0,0,1890,14040,0.1346153846153846,0.0,21,2,3,7,0,0.0,47.7277,-121.962,98019,407425.84,398000.0,325000.0,2,11871.64,2135.42,141
17,485000.0,4,1.0,0,1600,4300,0.37209302325581395,0.0,99,9,4,7,0,0.0,47.6648,-122.34299999999999,98103,578441.15,550000.0,650000.0,3,3469.39,1638.48,9905
18,189000.0,2,1.0,0,1200,9850,0.1218274111675127,0.0,94,9,4,7,0,0.0,47.3089,-122.21,98002,234284.04,235000.0,250000.0,1,7517.63,1627.74,4423
19,230000.0,3,1.0,0,1250,9774,0.127890321260487,0.0,46,4,4,7,0,0.0,47.3343,-122.306,98003,292011.4,267000.0,225000.0,1,10019.66,1924.47,3800
20,385000.0,4,1.75,1,1620,4980,0.3253012048192771,0.0,68,6,4,7,0,0.0,47.7025,-122.34100000000001,98133,387011.59,375000.0,375000.0,2,7094.61,1614.76,6279
22,285000.0,5,2.5,0,2270,6300,0.3603174603174603,0.0,20,2,3,8,0,0.0,47.3266,-122.169,98092,313948.5,299997.0,225000.0,1,11646.76,2144.05,892
23,252700.0,2,1.5,0,1070,9643,0.11096131909156902,0.0,30,3,3,7,0,0.0,47.3533,-122.166,98030,294089.77,281000.0,245000.0,1,9210.88,1956.98,4741
24,329000.0,3,2.25,0,2450,6500,0.3769230769230769,0.0,30,3,4,8,0,0.0,47.3739,-122.17200000000001,98030,294089.77,281000.0,245000.0,1,9210.88,1956.98,4741
25,233000.0,3,2.0,0,1710,4697,0.3640621673408559,0.0,74,7,5,6,0,0.0,47.3048,-122.21799999999999,98002,234284.04,235000.0,250000.0,1,7517.63,1627.74,4423
26,937000.0,3,1.75,1,2450,2691,0.9104422147900408,0.0,100,10,3,8,0,0.0,47.6386,-122.36,98119,756418.27,710000.0,800000.0,4,3356.41,1859.61,8638
27,667000.0,3,1.0,0,1400,1581,0.8855154965211891,0.0,106,10,5,8,0,0.0,47.6221,-122.314,98112,847094.83,785475.0,1050000.0,4,4070.75,2106.13,6667
28,438000.0,3,1.75,1,1520,6380,0.23824451410658307,0.0,67,6,3,7,0,0.0,47.695,-122.304,98115,608002.49,564000.0,435000.0,3,5407.32,1811.57,7018
29,719000.0,4,2.5,0,2570,7173,0.35828802453645614,0.0,10,1,3,8,0,0.0,47.7073,-122.11,98052,637806.32,610000.0,550000.0,4,10489.92,2345.22,2908
30,580500.0,3,2.5,0,2320,3980,0.5829145728643216,0.0,12,1,3,8,0,0.0,47.5391,-122.07,98027,587551.59,566250.0,525000.0,4,14503.6,2398.57,469
31,280000.0,2,1.5,0,1190,1265,0.9407114624505929,0.0,10,1,3,7,0,0.0,47.7274,-122.35700000000001,98133,387011.59,375000.0,375000.0,2,7094.61,1614.76,6279
32,687500.0,4,1.75,1,2330,5000,0.466,0.0,86,8,4,7,0,0.0,47.6823,-122.368,98117,576834.81,544000.0,575000.0,3,4636.39,1692.04,7953
33,535000.0,3,1.0,0,1090,3000,0.36333333333333334,0.0,86,8,4,8,0,0.0,47.6889,-122.375,98117,576834.81,544000.0,575000.0,3,4636.39,1692.04,7953
34,322500.0,4,2.75,1,2060,6659,0.30935575912299146,0.0,34,3,3,7,0,0.0,47.4276,-122.15700000000001,98058,341664.88,330000.0,320000.0,1,11026.51,2006.16,2215
35,696000.0,3,2.5,1,2300,3060,0.7516339869281046,0.0,85,8,3,8,1,13.0,47.6827,-122.31,98115,608002.49,564000.0,435000.0,3,5407.32,1811.57,7018
36,550000.0,4,1.0,1,1660,34848,0.04763544536271809,0.0,82,8,1,5,0,0.0,47.6621,-122.132,98052,637806.32,610000.0,550000.0,4,10489.92,2345.22,2908
37,640000.0,4,2.0,0,2360,6000,0.3933333333333333,0.0,111,11,4,8,0,0.0,47.6702,-122.36200000000001,98107,562928.82,529950.0,500000.0,3,3178.16,1558.64,9602
38,240000.0,4,1.0,1,1220,8075,0.15108359133126936,0.0,46,4,2,7,0,0.0,47.3341,-122.28200000000001,98001,273273.58,255500.0,250000.0,1,11496.59,1876.0,1717
39,605000.0,4,2.5,0,2620,7553,0.3468820336290216,0.0,19,1,3,8,0,0.0,47.5301,-122.18,98056,405816.41,378000.0,250000.0,2,8624.1,1998.23,4323
40,625000.0,4,2.5,0,2570,5520,0.46557971014492755,0.0,15,1,3,9,0,0.0,47.6145,-122.027,98074,655631.94,638250.0,550000.0,4,11778.2,2602.99,2411
41,775000.0,4,2.25,1,4220,24186,0.17448110477135534,0.0,31,3,3,8,0,0.0,47.445,-122.34700000000001,98166,431499.54,387500.0,350000.0,2,12578.77,2005.81,3580
42,861990.0,5,2.75,0,3595,5639,0.6375243837559851,0.0,1,0,3,9,0,0.0,47.6848,-122.016,98053,626388.9,600000.0,635000.0,4,14869.49,2411.52,662
43,685000.0,3,1.0,0,1570,2280,0.6885964912280702,0.0,93,9,3,7,0,0.0,47.6413,-122.36399999999999,98119,756418.27,710000.0,800000.0,4,3356.41,1859.61,8638
44,309000.0,3,1.0,1,1280,9656,0.13256006628003314,0.0,56,5,4,6,0,0.0,47.4485,-122.175,98058,341664.88,330000.0,320000.0,1,11026.51,2006.16,2215
45,488000.0,3,2.5,0,3160,13603,0.2323016981548188,0.0,12,1,3,8,0,0.0,47.7443,-121.977,98019,407425.84,398000.0,325000.0,2,11871.64,2135.42,141
46,210490.0,3,1.0,0,990,8528,0.11608818011257035,0.0,49,4,3,6,0,0.0,47.3066,-122.37100000000001,98023,284177.56,268000.0,245000.0,1,9809.44,1983.41,4604
47,785000.0,4,2.5,0,2290,13416,0.1706917113893858,0.0,34,3,4,9,0,0.0,47.6194,-122.15100000000001,98007,616434.41,553500.0,450000.0,3,10340.61,2183.79,5684
48,450000.0,3,1.75,0,1250,5963,0.20962602716753312,0.0,62,6,4,7,0,0.0,47.6796,-122.301,98115,608002.49,564000.0,435000.0,3,5407.32,1811.57,7018
50,228000.0,3,1.0,0,1190,9199,0.129361887161648,0.0,60,6,3,7,0,0.0,47.4258,-122.322,98148,284908.6,278000.0,295000.0,1,8960.72,1610.53,3194
51,345000.0,5,2.5,1,3150,9134,0.3448653382964747,0.0,49,4,4,8,0,0.0,47.4934,-122.189,98056,405816.41,378000.0,250000.0,2,8624.1,1998.23,4323
52,600000.0,3,1.75,1,1410,4080,0.34558823529411764,0.0,65,6,4,7,0,0.0,47.6808,-122.384,98117,576834.81,544000.0,575000.0,3,4636.39,1692.04,7953
53,585000.0,2,1.75,1,1980,8550,0.23157894736842105,0.0,34,3,3,7,0,0.0,47.6989,-122.369,98117,576834.81,544000.0,575000.0,3,4636.39,1692.04,7953
54,920000.0,5,2.25,1,2730,6000,0.455,0.0,88,8,3,8,0,0.0,47.6571,-122.281,98105,744828.15,660000.0,580000.0,4,4500.82,1961.75,10643
55,885000.0,4,2.5,0,2830,5000,0.566,0.0,20,2,3,9,0,0.0,47.6597,-122.29,98105,744828.15,660000.0,580000.0,4,4500.82,1961.75,10643
56,292500.0,4,2.5,0,2250,4495,0.5005561735261401,0.0,7,0,3,7,0,0.0,47.3663,-122.11399999999999,98042,302863.74,286450.0,270000.0,1,11323.03,1963.3,1537
57,301000.0,3,2.5,0,2420,4750,0.5094736842105263,0.0,12,1,3,8,0,0.0,47.3663,-122.12200000000001,98042,302863.74,286450.0,270000.0,1,11323.03,1963.3,1537
58,951000.0,5,3.25,0,3250,14342,0.22660716775902942,4.0,47,4,4,8,0,0.0,47.588,-122.116,98008,581616.01,540200.0,480000.0,3,10030.9,2057.97,4437
59,430000.0,4,3.0,0,1850,9976,0.18544506816359263,0.0,24,2,3,8,0,0.0,47.5059,-122.149,98059,483233.17,429475.0,320000.0,2,11011.6,2384.58,1725
60,650000.0,3,2.25,1,2150,21235,0.10124793972215682,3.0,56,5,4,8,0,0.0,47.4336,-122.339,98166,431499.54,387500.0,350000.0,2,12578.77,2005.81,3580
61,289000.0,3,1.75,0,1260,8400,0.15,0.0,61,6,3,7,0,0.0,47.4366,-122.335,98148,284908.6,278000.0,295000.0,1,8960.72,1610.53,3194
62,505000.0,3,1.75,0,2519,8690,0.289873417721519,0.0,42,4,5,8,0,0.0,47.4428,-122.344,98166,431499.54,387500.0,350000.0,2,12578.77,2005.81,3580
63,549000.0,3,1.75,0,1540,1044,1.475095785440613,0.0,1,0,3,8,0,0.0,47.6765,-122.32,98115,608002.49,564000.0,435000.0,3,5407.32,1811.57,7018
64,425000.0,3,2.25,1,1660,6000,0.27666666666666667,0.0,36,3,3,7,0,0.0,47.6113,-122.29700000000001,98122,599650.75,558000.0,640000.0,3,3426.16,1735.14,13594
65,317625.0,3,2.75,1,2770,3809,0.7272249934365975,0.0,90,9,5,7,0,0.0,47.5747,-122.304,98144,528153.49,449000.0,450000.0,3,3763.37,1798.73,7895
66,975000.0,4,2.5,0,2720,11049,0.24617612453615711,0.0,26,2,3,10,0,0.0,47.5815,-122.19200000000001,98004,950873.06,912500.0,650000.0,5,11328.53,2209.22,3977
67,287000.0,4,2.5,0,2240,4648,0.4819277108433735,0.0,10,1,3,7,0,0.0,47.3378,-122.257,98001,273273.58,255500.0,250000.0,1,11496.59,1876.0,1717
68,204000.0,3,1.0,0,1000,12070,0.08285004142502071,0.0,47,4,4,7,0,0.0,47.3621,-122.11,98042,302863.74,286450.0,270000.0,1,11323.03,1963.3,1537
69,1330000.0,5,2.25,1,3200,20158,0.1587459073320766,0.0,50,5,3,8,0,0.0,47.6303,-122.215,98004,950873.06,912500.0,650000.0,5,11328.53,2209.22,3977
70,1040000.0,5,3.25,1,4770,50094,0.09522098454904779,0.0,42,4,4,11,0,0.0,47.6525,-122.16,98005,768595.4,753000.0,975000.0,4,17365.04,2572.91,2361
71,325000.0,3,2.0,0,1260,5612,0.22451888809693513,0.0,43,4,4,7,0,0.0,47.7362,-122.179,98034,485606.58,443000.0,475000.0,3,9040.35,1937.39,4428
72,571000.0,4,2.0,1,2750,7807,0.3522479825797361,0.0,99,9,5,7,0,0.0,47.7168,-122.287,98125,459287.85,425000.0,375000.0,2,7634.36,1735.34,6879
73,360000.0,4,2.5,0,2380,5000,0.476,0.0,10,1,3,8,0,0.0,47.3608,-122.036,98038,345204.02,335000.0,275000.0,2,8695.4,2089.72,469
74,349000.0,3,1.75,1,1790,50529,0.03542520136951058,0.0,50,5,5,7,0,0.0,47.3511,-122.073,98042,302863.74,286450.0,270000.0,1,11323.03,1963.3,1537
75,832500.0,4,4.0,1,3430,35102,0.09771522990143011,0.0,29,2,4,10,0,0.0,47.5822,-121.98700000000001,98075,759694.5,735000.0,750000.0,4,14806.11,2998.8,2185
76,380000.0,4,1.75,1,1760,7300,0.2410958904109589,0.0,59,5,3,7,0,0.0,47.6034,-122.125,98008,581616.01,540200.0,480000.0,3,10030.9,2057.97,4437
77,480000.0,3,1.0,0,1040,5060,0.20553359683794467,0.0,74,7,3,7,0,0.0,47.5636,-122.39399999999999,98116,604844.74,559000.0,625000.0,3,4854.48,1830.22,7523
78,410000.0,3,1.0,1,1410,5060,0.27865612648221344,0.0,59,5,4,7,0,0.0,47.7073,-122.34,98133,387011.59,375000.0,375000.0,2,7094.61,1614.76,6279
79,720000.0,4,2.5,0,3450,39683,0.08693899150769852,0.0,13,1,3,10,0,0.0,47.342,-122.025,98010,379586.92,330000.0,240000.0,1,19688.19,1951.42,334
80,390000.0,3,2.5,0,2350,5100,0.46078431372549017,0.0,12,1,3,8,0,0.0,47.3512,-122.008,98038,345204.02,335000.0,275000.0,2,8695.4,2089.72,469
81,360000.0,4,2.5,0,1900,5889,0.3226354219731703,0.0,23,2,3,7,0,0.0,47.349,-122.031,98038,345204.02,335000.0,275000.0,2,8695.4,2089.72,469
82,355000.0,2,1.0,1,2020,6720,0.3005952380952381,0.0,67,6,3,7,0,0.0,47.5474,-122.291,98118,408602.81,366925.0,350000.0,2,5583.8,1672.28,6841
83,356000.0,3,1.5,0,1680,8712,0.1928374655647383,0.0,51,5,3,8,0,0.0,47.4811,-122.149,98059,483233.17,429475.0,320000.0,2,11011.6,2384.58,1725
84,315000.0,3,1.0,0,960,6634,0.1447090744648779,0.0,63,6,3,6,0,0.0,47.7264,-122.31,98125,459287.85,425000.0,375000.0,2,7634.36,1735.34,6879
85,940000.0,3,1.5,1,2140,3600,0.5944444444444444,0.0,90,9,3,9,0,0.0,47.6337,-122.365,98119,756418.27,710000.0,800000.0,4,3356.41,1859.61,8638
86,305000.0,5,2.25,0,2660,8400,0.31666666666666665,0.0,54,5,5,7,0,0.0,47.2909,-122.189,98092,313948.5,299997.0,225000.0,1,11646.76,2144.05,892
87,461000.0,3,3.25,1,2770,6278,0.4412233195285123,0.0,9,0,3,9,0,0.0,47.5228,-122.199,98056,405816.41,378000.0,250000.0,2,8624.1,1998.23,4323
88,215000.0,2,2.25,0,1610,2040,0.7892156862745098,0.0,36,3,4,7,0,0.0,47.518,-122.194,98056,405816.41,378000.0,250000.0,2,8624.1,1998.23,4323
89,335000.0,2,1.75,1,1030,1066,0.9662288930581614,0.0,9,0,3,7,0,0.0,47.5394,-122.387,98136,534712.0,485000.0,400000.0,3,5732.0,1699.25,6425
90,243500.0,4,2.5,0,1980,7403,0.2674591381872214,0.0,27,2,3,7,0,0.0,47.2897,-122.37200000000001,98023,284177.56,268000.0,245000.0,1,9809.44,1983.41,4604
91,1100000.0,5,2.75,0,3520,6353,0.5540689438060759,0.0,14,1,4,10,0,0.0,47.6506,-122.391,98199,732288.96,672500.0,1100000.0,4,5221.17,2072.72,4714
92,153000.0,3,1.0,0,1200,10500,0.11428571428571428,0.0,53,5,3,7,0,0.0,47.321999999999996,-122.351,98023,284177.56,268000.0,245000.0,1,9809.44,1983.41,4604
93,430000.0,3,1.5,1,1580,5000,0.316,0.0,76,7,3,8,0,0.0,47.687,-122.38600000000001,98117,576834.81,544000.0,575000.0,3,4636.39,1692.04,7953
94,700000.0,3,1.5,1,1580,5000,0.316,0.0,76,7,3,8,0,0.0,47.687,-122.38600000000001,98117,576834.81,544000.0,575000.0,3,4636.39,1692.04,7953
95,905000.0,4,2.5,1,3300,10250,0.32195121951219513,0.0,69,6,3,7,1,24.0,47.5873,-122.249,98040,948361.13,905000.0,1200000.0,5,12247.3,2699.47,3591
96,247500.0,3,1.75,0,1960,15681,0.12499202856960653,0.0,48,4,3,7,0,0.0,47.3576,-122.277,98032,250097.02,249000.0,240000.0,1,9792.51,1729.97,2024
97,199000.0,4,1.5,0,1160,6400,0.18125,0.0,40,4,4,7,0,0.0,47.3036,-122.37799999999999,98023,284177.56,268000.0,245000.0,1,9809.44,1983.41,4604
98,314000.0,3,1.75,1,1810,41800,0.04330143540669856,0.0,35,3,5,7,0,0.0,47.4109,-121.958,98038,345204.02,335000.0,275000.0,2,8695.4,2089.72,469
99,437500.0,3,2.5,0,2320,36847,0.06296306347870925,2.0,23,2,3,9,0,0.0,47.4838,-121.714,98045,385749.5,372250.0,280000.0,2,16226.62,1840.36,41
100,850830.0,3,2.5,1,2070,13241,0.15633260327769805,0.0,105,10,5,9,0,0.0,47.6415,-122.315,98102,748116.65,682500.0,525000.0,4,3015.2,1891.24,15829
101,555000.0,3,2.0,1,1980,3478,0.5692926969522715,0.0,86,8,4,7,0,0.0,47.6775,-122.37200000000001,98117,576834.81,544000.0,575000.0,3,4636.39,1692.04,7953
103,1090000.0,3,2.5,0,2920,8113,0.3599161839023789,0.0,65,6,3,8,1,5.0,47.5814,-122.196,98004,950873.06,912500.0,650000.0,5,11328.53,2209.22,3977
104,290000.0,3,1.0,0,1210,33919,0.0356732214982753,0.0,61,6,3,7,0,0.0,47.4375,-122.184,98058,341664.88,330000.0,320000.0,1,11026.51,2006.16,2215
105,375000.0,3,2.5,1,2340,10005,0.23388305847076463,0.0,37,3,4,8,0,0.0,47.4431,-122.133,98058,341664.88,330000.0,320000.0,1,11026.51,2006.16,2215
106,460000.0,3,1.0,1,1670,4005,0.41697877652933835,0.0,76,7,4,7,0,0.0,47.6878,-122.38,98117,576834.81,544000.0,575000.0,3,4636.39,1692.04,7953
107,188500.0,2,1.75,0,1240,2493,0.49739269955876453,0.0,30,3,4,8,0,0.0,47.3813,-122.322,98198,302835.44,265000.0,210000.0,1,10071.9,1746.92,4441
108,680000.0,4,2.5,0,3140,28037,0.11199486392980704,0.0,24,2,4,10,0,0.0,47.7304,-122.08200000000001,98077,652523.07,632925.0,875000.0,4,31219.29,2742.81,785
109,470000.0,5,1.75,0,2030,12342,0.16447901474639443,0.0,73,7,4,7,0,0.0,47.6417,-122.109,98052,637806.32,610000.0,550000.0,4,10489.92,2345.22,2908
110,597750.0,4,2.5,0,2310,9624,0.24002493765586036,0.0,31,3,3,8,0,0.0,47.5386,-122.053,98027,587551.59,566250.0,525000.0,4,14503.6,2398.57,469
111,570000.0,3,1.75,1,1260,3328,0.3786057692307692,0.0,110,11,5,6,0,0.0,47.6823,-122.34899999999999,98103,578441.15,550000.0,650000.0,3,3469.39,1638.48,9905
112,272500.0,3,1.75,0,1540,12600,0.12222222222222222,0.0,35,3,4,7,0,0.0,47.3624,-122.031,98038,345204.02,335000.0,275000.0,2,8695.4,2089.72,469
113,329950.0,3,1.75,1,2080,5969,0.3484670799128832,2.0,44,4,3,7,0,0.0,47.5474,-122.295,98108,355678.52,342500.0,400000.0,2,5204.84,1704.62,2989
114,480000.0,4,2.5,1,3230,16171,0.19974027580236225,0.0,14,1,3,9,0,0.0,47.3183,-122.25299999999999,98001,273273.58,255500.0,250000.0,1,11496.59,1876.0,1717
115,740500.0,3,3.5,0,4380,6350,0.6897637795275591,0.0,115,11,3,8,0,0.0,47.6981,-122.368,98117,576834.81,544000.0,575000.0,3,4636.39,1692.04,7953
116,518500.0,3,3.5,0,1590,1102,1.442831215970962,0.0,5,0,3,8,0,0.0,47.6824,-122.34700000000001,98103,578441.15,550000.0,650000.0,3,3469.39,1638.48,9905
117,205425.0,2,1.0,0,880,6780,0.12979351032448377,0.0,70,7,4,6,0,0.0,47.5009,-122.24799999999999,98178,305357.85,276277.0,315000.0,1,8045.58,1722.62,4966
118,171800.0,4,2.0,0,1570,9600,0.16354166666666667,0.0,65,6,3,6,0,0.0,47.4965,-122.303,98168,240328.37,235000.0,235000.0,1,11269.84,1468.62,3794
119,535000.0,4,1.0,0,1610,2982,0.539906103286385,0.0,90,9,4,7,0,0.0,47.586999999999996,-122.294,98144,528153.49,449000.0,450000.0,3,3763.37,1798.73,7895
120,660000.0,3,2.5,1,2400,6474,0.3707136237256719,2.0,51,5,3,8,0,0.0,47.7728,-122.38600000000001,98177,594476.85,527150.0,380000.0,3,10254.7,2170.96,3341
121,391500.0,3,2.0,0,1450,9132,0.15878230398598336,0.0,28,2,3,7,0,0.0,47.7288,-122.226,98034,485606.58,443000.0,475000.0,3,9040.35,1937.39,4428
122,395000.0,2,1.0,0,770,6000,0.12833333333333333,0.0,62,6,3,6,0,0.0,47.6999,-122.36399999999999,98117,576834.81,544000.0,575000.0,3,4636.39,1692.04,7953
123,445000.0,4,1.75,1,2100,4400,0.4772727272727273,0.0,91,9,5,7,0,0.0,47.5299,-122.266,98118,408602.81,366925.0,350000.0,2,5583.8,1672.28,6841
124,770000.0,3,2.25,0,2910,10204,0.28518228145825164,0.0,25,2,3,9,0,0.0,47.6897,-122.098,98052,637806.32,610000.0,550000.0,4,10489.92,2345.22,2908
125,1450000.0,4,2.75,1,2750,17789,0.15458991511608297,0.0,101,10,3,8,1,23.0,47.6141,-122.212,98004,950873.06,912500.0,650000.0,5,11328.53,2209.22,3977
126,445000.0,3,2.25,1,2100,8201,0.25606633337397877,2.0,48,4,3,8,0,0.0,47.5091,-122.244,98178,305357.85,276277.0,315000.0,1,8045.58,1722.62,4966
127,260000.0,4,2.25,1,2160,8811,0.24514811031664965,0.0,37,3,3,8,0,0.0,47.3129,-122.39,98023,284177.56,268000.0,245000.0,1,9809.44,1983.41,4604
128,822500.0,5,3.5,1,2320,4960,0.46774193548387094,0.0,89,8,5,7,0,0.0,47.6763,-122.352,98103,578441.15,550000.0,650000.0,3,3469.39,1638.48,9905
129,430000.0,4,2.5,0,2070,4310,0.4802784222737819,0.0,11,1,3,7,0,0.0,47.5319,-121.85,98065,529194.82,506950.0,425000.0,3,7663.84,2602.71,171
130,212000.0,3,1.75,0,1060,7875,0.1346031746031746,0.0,29,2,4,7,0,0.0,47.2761,-122.152,98092,313948.5,299997.0,225000.0,1,11646.76,2144.05,892
131,660500.0,4,2.25,1,2010,9603,0.2093095907528897,0.0,29,2,3,8,0,0.0,47.5343,-122.054,98027,587551.59,566250.0,525000.0,4,14503.6,2398.57,469
133,453246.0,3,2.5,1,2010,2287,0.8788806296458243,0.0,1,0,3,8,0,0.0,47.5517,-121.99799999999999,98029,594612.48,570500.0,690000.0,4,6416.24,2230.1,2719
134,675000.0,4,3.5,0,2140,2278,0.9394205443371378,0.0,10,1,3,9,0,0.0,47.6734,-122.38,98107,562928.82,529950.0,500000.0,3,3178.16,1558.64,9602
135,199000.0,3,1.75,0,1320,17390,0.07590569292696953,0.0,59,5,4,7,0,0.0,47.3257,-122.296,98003,292011.4,267000.0,225000.0,1,10019.66,1924.47,3800
136,220000.0,4,1.75,1,2020,7840,0.2576530612244898,0.0,47,4,3,7,0,0.0,47.3309,-122.29899999999999,98003,292011.4,267000.0,225000.0,1,10019.66,1924.47,3800
137,452000.0,4,2.25,1,2590,10002,0.2589482103579284,0.0,47,4,4,8,0,0.0,47.7689,-122.266,98028,458486.87,440000.0,400000.0,2,10776.84,2119.75,3606
138,382500.0,2,1.0,0,1190,4440,0.268018018018018,0.0,34,3,3,6,0,0.0,47.7135,-122.287,98125,459287.85,425000.0,375000.0,2,7634.36,1735.34,6879
139,519950.0,3,2.25,0,1170,1249,0.9367493995196157,0.0,1,0,3,8,0,0.0,47.6722,-122.381,98107,562928.82,529950.0,500000.0,3,3178.16,1558.64,9602
140,665000.0,2,1.0,0,1110,3200,0.346875,0.0,90,9,3,7,0,0.0,47.6338,-122.35799999999999,98119,756418.27,710000.0,800000.0,4,3356.41,1859.61,8638
141,527700.0,5,2.5,1,2820,9375,0.3008,0.0,47,4,4,8,0,0.0,47.5707,-122.12799999999999,98006,763026.1,734000.0,550000.0,4,12407.05,2712.18,3402
142,205000.0,3,1.0,1,1610,8579,0.1876675603217158,0.0,53,5,4,7,0,0.0,47.4563,-122.171,98058,341664.88,330000.0,320000.0,1,11026.51,2006.16,2215
143,420000.0,3,1.0,1,1060,8097,0.13091268371001605,0.0,92,9,4,7,0,0.0,47.7144,-122.351,98133,387011.59,375000.0,375000.0,2,7094.61,1614.76,6279
144,500000.0,4,2.25,1,2030,8517,0.23834683574028415,0.0,54,5,4,8,0,0.0,47.5495,-122.17399999999999,98006,763026.1,734000.0,550000.0,4,12407.05,2712.18,3402
146,890000.0,4,1.0,1,2550,4000,0.6375,0.0,110,11,3,8,0,0.0,47.6354,-122.353,98109,780484.75,710100.0,550000.0,4,3461.36,1905.51,10361
148,258000.0,5,2.0,1,2260,12500,0.1808,0.0,55,5,4,8,0,0.0,47.3887,-122.286,98032,250097.02,249000.0,240000.0,1,9792.51,1729.97,2024
149,511000.0,3,1.0,1,1430,3455,0.41389290882778584,0.0,68,6,3,7,0,0.0,47.6873,-122.336,98103,578441.15,550000.0,650000.0,3,3469.39,1638.48,9905
150,532170.0,3,2.0,0,1360,3090,0.4401294498381877,0.0,25,2,3,8,0,0.0,47.6838,-122.353,98103,578441.15,550000.0,650000.0,3,3469.39,1638.48,9905
151,560000.0,3,1.0,0,1110,5000,0.222,0.0,68,6,3,7,0,0.0,47.655,-122.359,98107,562928.82,529950.0,500000.0,3,3178.16,1558.64,9602
152,282950.0,3,1.0,0,1250,8200,0.1524390243902439,0.0,61,6,4,7,0,0.0,47.3255,-122.304,98003,292011.4,267000.0,225000.0,1,10019.66,1924.47,3800
154,350000.0,1,1.0,0,700,5100,0.13725490196078433,0.0,73,7,3,7,0,0.0,47.678999999999995,-122.3,98115,608002.49,564000.0,435000.0,3,5407.32,1811.57,7018
155,215000.0,3,1.0,0,1180,7669,0.1538662146303299,0.0,48,4,4,7,0,0.0,47.4479,-122.176,98058,341664.88,330000.0,320000.0,1,11026.51,2006.16,2215
156,650000.0,5,3.5,1,3960,25245,0.1568627450980392,0.0,19,1,3,9,0,0.0,47.525,-122.17200000000001,98056,405816.41,378000.0,250000.0,2,8624.1,1998.23,4323
157,320000.0,4,2.75,1,2640,7500,0.352,0.0,48,4,3,8,0,0.0,47.3135,-122.369,98023,284177.56,268000.0,245000.0,1,9809.44,1983.41,4604
